Date,GroupName,Gender,Age_Group,Search_Count
2021-01-05,찌개/국/탕,f,중년층,34.53588
2021-01-05,찌개/국/탕,f,장년층,30.47732
2021-01-05,면요리,m,청년층,44.55764
2021-01-05,면요리,m,중년층,31.23327
2021-01-05,면요리,m,장년층,32.31981
2021-01-05,면요리,f,청년층,56.94148
2021-01-05,면요리,f,중년층,43.4218
2021-01-05,면요리,f,장년층,38.7402
2021-01-05,밥/죽/덮밥,m,청년층,78.15899
2021-01-05,밥/죽/덮밥,m,중년층,57.55935
2021-01-05,밥/죽/덮밥,m,장년층,70.65727
2021-01-05,밥/죽/덮밥,f,청년층,81.16379
2021-01-05,밥/죽/덮밥,f,중년층,76.01034
2021-01-05,밥/죽/덮밥,f,장년층,65.74427
2021-01-05,볶음/구이,m,청년층,77.82362
2021-01-05,볶음/구이,m,중년층,55.58438
2021-01-05,볶음/구이,m,장년층,51.32656
2021-01-05,볶음/구이,f,청년층,89.67088
2021-01-05,볶음/구이,f,중년층,71.32251
2021-01-05,볶음/구이,f,장년층,53.22719
2021-01-05,브런치/샐러드,m,청년층,72.53829
2021-01-05,브런치/샐러드,m,중년층,47.25444
2021-01-05,브런치/샐러드,m,장년층,16.36615
2021-01-05,브런치/샐러드,f,청년층,59.28971
2021-01-05,브런치/샐러드,f,중년층,36.58311
2021-01-05,브런치/샐러드,f,장년층,19.68847
2021-01-05,안주/보양식,m,청년층,16.26506
2021-01-05,안주/보양식,m,중년층,12.89807
2021-01-05,안주/보양식,m,장년층,12.37988
2021-01-05,안주/보양식,f,청년층,22.83145
2021-01-05,안주/보양식,f,중년층,20.80839
2021-01-05,안주/보양식,f,장년층,20.66948
2021-01-06,찌개/국/탕,m,청년층,21.98159
2021-01-06,찌개/국/탕,m,중년층,19.21183
2021-01-06,찌개/국/탕,m,장년층,18.80139
2021-01-06,찌개/국/탕,f,청년층,29.96331
2021-01-06,찌개/국/탕,f,중년층,34.52299
2021-01-06,찌개/국/탕,f,장년층,30.00978
2021-01-06,면요리,m,청년층,47.81054
2021-01-06,면요리,m,중년층,31.89005
2021-01-06,면요리,m,장년층,34.04654
2021-01-06,면요리,f,청년층,60.0
2021-01-06,면요리,f,중년층,44.78245
2021-01-06,면요리,f,장년층,42.95039
2021-01-06,밥/죽/덮밥,m,청년층,83.76569
2021-01-06,밥/죽/덮밥,m,중년층,55.39358
2021-01-06,밥/죽/덮밥,m,장년층,57.98122
2021-01-06,밥/죽/덮밥,f,청년층,82.62931
